Issuer/Borrower Name;"Nation
Region
Description";Matched Region
900 State College Ppty I K6;"Americas
North America";North America
Tyson Foods Inc;"Americas
North America";North America
Williams-Sonoma Inc;"Americas
North America";North America
Alamos Gold Inc;"Americas
North America";North America
AccentCare Inc;"Americas
North America";North America
Apex Cos LLC;"Americas
North America";North America
Brillio Inc;"Americas
North America";North America
Intelerad Medical Systems Inc;"Americas
North America";North America
Horizon Telcom Inc;"Americas
North America";North America
Windsor Fashions Inc;"Americas
North America";North America
Schellman & Co LLC;"Americas
North America";North America
Dinkytown MN JV LLC;"Americas
North America";North America
Alta WildHorse Ranch;"Americas
North America";North America
Softtek Integration Sys Inc;"Americas
North America";North America
Smart Data Solutions;"Americas
North America";North America
Otter Tail Power;"Americas
North America";North America
Otter Tail Corp;"Americas
North America";North America
Primary Energy Holdings LLC;"Americas
North America";North America
F Bit Communications Corp;Japan;Asia
Quality Tech;"Americas
North America";North America
Daiwabo Holdings Co Ltd;Japan;Asia
Cano Health LLC;"Americas
North America";North America
Financial Products Group;Japan;Asia
TeraDai Tsurugashima Co Ltd;Japan;Asia
Kyo-Roman;Japan;Asia
ORIX Corp;Japan;Asia
PS Logistics LLC;"Americas
North America";North America
Yamanaka Co Ltd;Japan;Asia
Credit Saison Co Ltd;Japan;Asia
Inszone Insurance Services Inc;"Americas
North America";North America
Starwood Property Trust Inc;"Americas
North America";North America
F W Webb Company;"Americas
North America";North America
S E A Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Werner Co;"Americas
North America";North America
Groupe Alithya Inc;"Americas
North America";North America
Amalgamated Sugar Co;"Americas
North America";North America
The Asahi Shimbun Co;Japan;Asia
Autodesk Inc;"Americas
North America";North America
Baxter International Inc;"Americas
North America";North America
Murase Co Ltd;Japan;Asia
Vonovia SE;"Europe
Western Europe";Western Europe
Pendal Group Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Suzhou Baojing Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Suzhou Xinhongjie Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Boulevard View Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
The Education Group SAS;"Europe
Western Europe";Western Europe
AET Shuttle Tankers III Pte;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Daimyo Project Tokutei;Japan;Asia
FW Inc;Japan;Asia
Sukaihatu Co Ltd;Japan;Asia
Unimat Nansei Fudosan Co Ltd;Japan;Asia
Mashiro Holdings Co Ltd;Japan;Asia
Medical Frontier Co Ltd;Japan;Asia
Mitoshoji Co Ltd;Japan;Asia
KSH Development Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Steelcell Of North America LLC;"Americas
North America";North America
Zenhoren Co Ltd;Japan;Asia
Zip Co Ltd;Japan;Asia
Netmarble Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Sec Svcs Acq Sub Corp;"Americas
North America";North America
Lv Stadium Events Co LLC;"Americas
North America";North America
Yamada Holdings Co Ltd;Japan;Asia
Shirakawa SD Energy LLC;Japan;Asia
Polystorm Bidco AB;"Europe
Western Europe";Western Europe
Leto;"Europe
Western Europe";Western Europe
Daitoku Kogyo;Japan;Asia
De Licacy Industrial Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Elecnor SA;"Europe
Western Europe";Western Europe
Emirates Airlines;"Africa/Middle East/Central Asia
Middle East";Africa
Equity Trustees Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Innovative Xcessories & Svcs;"Americas
North America";North America
Asanuma Corp;Japan;Asia
Japan Metro Fund Invest Corp;Japan;Asia
BRC 77 Baie Rack Container;"Europe
Western Europe";Western Europe
Golden Triangle Owner LLC;"Americas
North America";North America
Tulare Solar MM LLC;"Americas
North America";North America
Welltower Mission Viejo Med;"Americas
North America";North America
Playa Maroma Inmuebles Sa De;"Americas
Central America";Latin America
Exceldor Cooperative Avicole;"Americas
North America";North America
Friedkin Companies Inc;"Americas
North America";North America
Fuku Bld Co Ltd;Japan;Asia
Genuine Parts Co;"Americas
North America";North America
Grand Sierra Resort Corp;"Americas
North America";North America
Takumi Shoji Co Ltd;Japan;Asia
Project Quill Iv Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Encavis AG;"Europe
Western Europe";Western Europe
Fujikin Carp Group Holdings Co;Japan;Asia
PLAID Inc;Japan;Asia
Fbg Holding Inc;"Americas
North America";North America
Eguia Nuts SL;"Europe
Western Europe";Western Europe
PR Midco LLC;"Americas
North America";North America
Helix Energy Solutions Grp Inc;"Americas
North America";North America
IRET Properties Inc;"Americas
North America";North America
Japan Assn for Dvlp of Cmnty;Japan;Asia
JTEKT Corp;Japan;Asia
Kamori Kanko Co Ltd;Japan;Asia
Exiger LLC;"Americas
North America";North America
BANDAI NAMCO Holdings Inc;Japan;Asia
United Safety & Survivability;"Americas
North America";North America
KURIBAYASHI STEAMSHIP Co Ltd;Japan;Asia
Leggett & Platt Inc;"Americas
North America";North America
Gunvor SA;"Europe
Western Europe";Western Europe
Tentamus Group GmbH;"Europe
Western Europe";Western Europe
Cameron W&C Grp Inc;"Americas
North America";North America
Realize Corp Inc;Japan;Asia
City Of Moriyama;Japan;Asia
Murao Co Ltd;Japan;Asia
Neuberger Berman Family;"Americas
North America";North America
NewQuest Properties;"Americas
North America";North America
Nichimo Co Ltd;Japan;Asia
Norske Skogindustrier ASA;"Europe
Western Europe";Western Europe
Nichiei Intec Co Ltd;Japan;Asia
Rockefeller Capital Management;"Americas
North America";North America
Sompo Care Inc;Japan;Asia
FCP Fund V Operating;"Americas
North America";North America
Lightec Inc;Japan;Asia
UME Co Ltd;Japan;Asia
Daiwa House Global REIT Inc;Japan;Asia
Showa Service Co Ltd;Japan;Asia
Schwab Charles Corp;"Americas
North America";North America
Sumitomo Heavy Inds Ltd.;Japan;Asia
